itemindex,model,context_id,context_string,response,relevance,reference,metouts
11,retrieval,,"i have a cell phone in my car . now it's probably on the floor on the passenger side . why don't you get it for me , and then i can call the police ? <eot> alright . <eot> it doesn't work . it looks like it's broken . i need to get to a hospital . you should drive me there . <eot> oh , yeah ? it's better if we make a police report first . then you can go to the hospital . <eot> damn it ! i'm injured here . we could wait all day for the police .",We'll have to get you to a hospital. I can ride you on the back of my bike.,0.75,That is true ; i best go ahead and drive you there.,"{'Bleu_1': 0.11111111110493832, 'Bleu_2': 2.556549962678361e-09, 'Bleu_3': 7.41986827790936e-12, 'Bleu_4': 4.0623218788768687e-13, 'METEOR': 0.09704481976303102, 'ROUGE_L': 0.13832199546485258, 'CIDEr': 0.0, 'SkipThoughtCS': 0.69940114, 'EmbeddingAverageCosineSimilarity': 0.935913, 'EmbeddingAverageCosineSimilairty': 0.935913, 'VectorExtremaCosineSimilarity': 0.451417, 'GreedyMatchingScore': 0.703241}"
12,retrieval,,"hum , still a student ? <eot> yes , i'm student of grade 3 in the university majoring in economics . <eot> what subjects are you studying ? <eot> english , math , commercial and legal studies , and accountancy . <eot> have you had any working experience .","Yes, i have worked in a bank for the last years.",0.5,Yes. I have worked in my parent's store for several years.,"{'Bleu_1': 0.545454545355372, 'Bleu_2': 0.40451991740255755, 'Bleu_3': 0.3313007624084907, 'Bleu_4': 0.2596535888827098, 'METEOR': 0.18430486509717034, 'ROUGE_L': 0.5454545454545454, 'CIDEr': 0.0, 'SkipThoughtCS': 0.82886815, 'EmbeddingAverageCosineSimilarity': 0.947318, 'EmbeddingAverageCosineSimilairty': 0.947318, 'VectorExtremaCosineSimilarity': 0.605039, 'GreedyMatchingScore': 0.832412}"
13,retrieval,,i am really interested in buying this television . <eot> that's so great !,This television is of very high quality.,1,Does it connect to wifi and play netflix?,"{'Bleu_1': 1.2383969992892892e-16, 'Bleu_2': 1.3376216389974536e-16, 'Bleu_3': 1.4584274597955138e-16, 'Bleu_4': 1.61023072606689e-16, 'METEOR': 0.04163746048412862, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.6422708, 'EmbeddingAverageCosineSimilarity': 0.710772, 'EmbeddingAverageCosineSimilairty': 0.710772, 'VectorExtremaCosineSimilarity': 0.296493, 'GreedyMatchingScore': 0.519352}"
14,retrieval,,i have a terrible toothache . <eot> which tooth is it ? <eot> this one here .,How long have you had this toothache?,1,Ok i see it.,"{'Bleu_1': 1.428571428367347e-16, 'Bleu_2': 1.5430334993821163e-16, 'Bleu_3': 1.6823908654542381e-16, 'Bleu_4': 1.857505799560655e-16, 'METEOR': 0.0, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.5860115, 'EmbeddingAverageCosineSimilarity': 0.850438, 'EmbeddingAverageCosineSimilairty': 0.850438, 'VectorExtremaCosineSimilarity': 0.568511, 'GreedyMatchingScore': 0.653093}"
15,retrieval,,"hi , there . look at these . i have collected some ads here . there is a special promotion for mother's day this weekend . <eot> oh , yes . mother's day is coming . do you plan to buy anything ?","Well, all the gifts for my family, you know, two pairs of sneakers for my children and a bottle of perfume for my wife.",1,"Yes, i'm buying my mom some flowers.","{'Bleu_1': 0.0416666666649306, 'Bleu_2': 1.345954755088114e-09, 'Bleu_3': 4.35056919543614e-12, 'Bleu_4': 2.502388506469318e-13, 'METEOR': 0.11000458783271642, 'ROUGE_L': 0.07159624413145539, 'CIDEr': 0.0, 'SkipThoughtCS': 0.74564517, 'EmbeddingAverageCosineSimilarity': 0.865762, 'EmbeddingAverageCosineSimilairty': 0.865762, 'VectorExtremaCosineSimilarity': 0.483112, 'GreedyMatchingScore': 0.680766}"
16,retrieval,,what sort of job would you like to take ?,I believe that this job would allow me to move up but might be a little boring for me.,0.5,What type of jobs are currently available?,"{'Bleu_1': 5.2631578944598344e-17, 'Bleu_2': 5.4073807040662474e-17, 'Bleu_3': 5.561282936163367e-17, 'Bleu_4': 5.725998731205232e-17, 'METEOR': 0.050573802238976985, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.6417779, 'EmbeddingAverageCosineSimilarity': 0.824874, 'EmbeddingAverageCosineSimilairty': 0.824874, 'VectorExtremaCosineSimilarity': 0.432592, 'GreedyMatchingScore': 0.623477}"
17,retrieval,,hi . what's your name ? <eot> my name is jung min . what's your name ?,Wu mei. That's my name.,0.9,I'm ted. How's it going?,"{'Bleu_1': 1.9999999992000006e-16, 'Bleu_2': 2.236067976549461e-16, 'Bleu_3': 2.554364773467337e-16, 'Bleu_4': 3.021375395783136e-16, 'METEOR': 0.025236593059936908, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.54136467, 'EmbeddingAverageCosineSimilarity': 0.770511, 'EmbeddingAverageCosineSimilairty': 0.770511, 'VectorExtremaCosineSimilarity': 0.424271, 'GreedyMatchingScore': 0.674916}"
18,retrieval,,bob ! <eot> anne ! i haven't seen you for ages . how've you been ?,Not bad. How about you? Have n't seen you for a long time.,0.833333333,I've been great. Busy.,"{'Bleu_1': 7.692307691715977e-17, 'Bleu_2': 8.006407689612819e-17, 'Bleu_3': 8.352713247389653e-17, 'Bleu_4': 8.737167850948829e-17, 'METEOR': 0.05149425287356322, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.533, 'EmbeddingAverageCosineSimilarity': 0.896969, 'EmbeddingAverageCosineSimilairty': 0.896969, 'VectorExtremaCosineSimilarity': 0.558949, 'GreedyMatchingScore': 0.728252}"
19,retrieval,,"it is ninety-five pounds per night . it is a double room with a bathroom . there is a fridge , coffee maker and a television in the room . <eot> does the bathroom have a bath or a shower ? <eot> all our bathrooms have full size baths with a shower attachment . <eot> does the room have an internet connection ? <eot> yes , all our rooms have complimentary wireless internet .",And when would you like the rooms?,0.5,That sounds perfect.,"{'Bleu_1': 1.428571428367347e-16, 'Bleu_2': 1.5430334993821163e-16, 'Bleu_3': 1.6823908654542381e-16, 'Bleu_4': 1.857505799560655e-16, 'METEOR': 0.0, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.5579293, 'EmbeddingAverageCosineSimilarity': 0.787513, 'EmbeddingAverageCosineSimilairty': 0.787513, 'VectorExtremaCosineSimilarity': 0.430872, 'GreedyMatchingScore': 0.587027}"
20,retrieval,,"honey , i need to have a talk with you .","Honey, i am sorry i have no time.",0.875,What would you like to talk about?,"{'Bleu_1': 1.2499999998437502e-16, 'Bleu_2': 1.3363062093831524e-16, 'Bleu_3': 1.43842395645363e-16, 'Bleu_4': 1.5619699682123511e-16, 'METEOR': 0.0, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.58292365, 'EmbeddingAverageCosineSimilarity': 0.864948, 'EmbeddingAverageCosineSimilairty': 0.864948, 'VectorExtremaCosineSimilarity': 0.519835, 'GreedyMatchingScore': 0.626335}"
21,retrieval,,"room service . what can i do for you ? <eot> this is room 2012 . where is my laundry ? you promised to send to me this morning . <eot> well , let me check for you . i am sorry , sir . they mistook your order as a normal one . actualty it's an express laundry , is that right ? <eot> yes , i ordered the express service .","Well, as they say, garbage in, garbage out. Let me correct this error, please.",0.5,"I can not see well, could you tell me the time?","{'Bleu_1': 0.14285714284693884, 'Bleu_2': 3.31496772041309e-09, 'Bleu_3': 9.710891919084828e-12, 'Bleu_4': 5.371507285148366e-13, 'METEOR': 0.1742535018500443, 'ROUGE_L': 0.16353887399463804, 'CIDEr': 0.0, 'SkipThoughtCS': 0.6219217, 'EmbeddingAverageCosineSimilarity': 0.903953, 'EmbeddingAverageCosineSimilairty': 0.903953, 'VectorExtremaCosineSimilarity': 0.495525, 'GreedyMatchingScore': 0.743194}"
22,retrieval,,"what's the matter with them ? <eot> look at the heels . they are slanting . <eot> ah , i can do it perfectly . <eot> how much does it cost ? <eot> 6 yuan . and i can make them as new as before .",That's not cheap at all.,0.75,That would be fantastic!,"{'Bleu_1': 1.9999999996000001e-16, 'Bleu_2': 2.2360679769966743e-16, 'Bleu_3': 2.5543647739782093e-16, 'Bleu_4': 3.02137539638741e-16, 'METEOR': 0.044444444444444446, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.65233684, 'EmbeddingAverageCosineSimilarity': 0.80722, 'EmbeddingAverageCosineSimilairty': 0.80722, 'VectorExtremaCosineSimilarity': 0.396227, 'GreedyMatchingScore': 0.636851}"
23,retrieval,,"do you have a package tour to hollywood ? <eot> yes , here is the table , which plans do you like best ? <eot> the seven-days trip shall be fine . how much is this tour ? <eot> $ 300 .",What's the price per day'? And are the meals included or extra?,0.5,What are the future in this tour,"{'Bleu_1': 0.16666666665277785, 'Bleu_2': 0.12309149096860895, 'Bleu_3': 1.1485555941994898e-06, 'Bleu_4': 3.6020802878603475e-09, 'METEOR': 0.0989081741205085, 'ROUGE_L': 0.22101449275362317, 'CIDEr': 0.0, 'SkipThoughtCS': 0.09023379, 'EmbeddingAverageCosineSimilarity': 0.861294, 'EmbeddingAverageCosineSimilairty': 0.861294, 'VectorExtremaCosineSimilarity': 0.347749, 'GreedyMatchingScore': 0.688689}"
24,retrieval,,"do you like watching the winter olympic games ? <eot> of course . it's the tradition game in winter , and with good reason . don't you like watching it ?","Of course. It's the tradition game in winter, and with good reason. Do n't you like watching it?",0.75,I've never been a real fan.,"{'Bleu_1': 5.555555555246914e-17, 'Bleu_2': 5.716619504423364e-17, 'Bleu_3': 5.889153354909399e-17, 'Bleu_4': 6.074588070506824e-17, 'METEOR': 0.0, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.5576656, 'EmbeddingAverageCosineSimilarity': 0.872924, 'EmbeddingAverageCosineSimilairty': 0.872924, 'VectorExtremaCosineSimilarity': 0.433436, 'GreedyMatchingScore': 0.650726}"
25,retrieval,,"excuse me , waiter , i would like to have some wine before the main course . <eot> have you decided what wine you would like ? <eot> i have no idea . maybe you can give me some advice .",The wine choices are posted on the little menu in the middle of the table.,0.75,Well we have a nice white wine that is slightly sweet.,"{'Bleu_1': 0.06666666666222229, 'Bleu_2': 2.1821789022092506e-09, 'Bleu_3': 7.155046341999931e-12, 'Bleu_4': 4.179882048905089e-13, 'METEOR': 0.11443787349013726, 'ROUGE_L': 0.07911802853437094, 'CIDEr': 0.0, 'SkipThoughtCS': 0.7117659, 'EmbeddingAverageCosineSimilarity': 0.842566, 'EmbeddingAverageCosineSimilairty': 0.842566, 'VectorExtremaCosineSimilarity': 0.526926, 'GreedyMatchingScore': 0.592409}"
26,retrieval,,"this is our rock-bottom price , and we can't make any further reduction . <eot> if so , we find it difficult for us to go on with our talks . <eot> then what's your counter-offer ? <eot> this is our counter-offer . <eot> we are sincere to make business with you , but the difference between your counter-offer and our price is too great .",There's no point in making a counter offer because the gap is too great.,0.625,We ca n't change the figures anymore,"{'Bleu_1': 0.07142857142346946, 'Bleu_2': 2.344036154518608e-09, 'Bleu_3': 7.707540023952373e-12, 'Bleu_4': 4.516881220590475e-13, 'METEOR': 0.01990049751243781, 'ROUGE_L': 0.10132890365448505, 'CIDEr': 0.0, 'SkipThoughtCS': 0.2146406, 'EmbeddingAverageCosineSimilarity': 0.81536, 'EmbeddingAverageCosineSimilairty': 0.81536, 'VectorExtremaCosineSimilarity': 0.379269, 'GreedyMatchingScore': 0.611326}"
27,retrieval,,"why don't you go and check the refrigerator ? <eot> i would appreciate it if you would do that for me . <eot> why don't you just get the basics ? <eot> what do you mean ? <eot> eggs , milk , bread . things like that .","Ok. Let's not forget fruit and vegetables. We need a bunch of bananas, a kilo of tomatoes and a bag of potatoes.",0.75,How about a nice cabin in the woods?,"{'Bleu_1': 0.045454545452479386, 'Bleu_2': 1.471224715772784e-09, 'Bleu_3': 4.765509535773207e-12, 'Bleu_4': 2.747221058959446e-13, 'METEOR': 0.018348623853211007, 'ROUGE_L': 0.07279236276849642, 'CIDEr': 0.0, 'SkipThoughtCS': 0.54387665, 'EmbeddingAverageCosineSimilarity': 0.80456, 'EmbeddingAverageCosineSimilairty': 0.80456, 'VectorExtremaCosineSimilarity': 0.268452, 'GreedyMatchingScore': 0.552783}"
28,retrieval,,what kind of place shall we rent ?,I prefer a one - bedroom apartment.,1,Definitely the statue of liberty,"{'Bleu_1': 1.428571428367347e-16, 'Bleu_2': 1.5430334993821163e-16, 'Bleu_3': 1.6823908654542381e-16, 'Bleu_4': 1.857505799560655e-16, 'METEOR': 0.0, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.12796605, 'EmbeddingAverageCosineSimilarity': 0.593808, 'EmbeddingAverageCosineSimilairty': 0.593808, 'VectorExtremaCosineSimilarity': 0.216738, 'GreedyMatchingScore': 0.455828}"
29,retrieval,,"you're from new york , aren't you ? <eot> yes , that's right . <eot> what do you suggest i should see in new york ?",How about going to the suburbs?,0.666666667,Your curling your what?,"{'Bleu_1': 1.666666666388889e-16, 'Bleu_2': 1.8257418580158344e-16, 'Bleu_3': 2.027400664774394e-16, 'Bleu_4': 2.295748846116193e-16, 'METEOR': 0.035398230088495575, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.6674675, 'EmbeddingAverageCosineSimilarity': 0.733423, 'EmbeddingAverageCosineSimilairty': 0.733423, 'VectorExtremaCosineSimilarity': 0.287289, 'GreedyMatchingScore': 0.640648}"
30,retrieval,,"gross ! what are you doing to yourself ? <eot> chill ! i'm just curling my eyelashes . <eot> it looks like some kind of primitive form of torture . <eot> you're such a wimp ! you're afraid of an eyelash curler . <eot> well , you might pinch your eyelid ! or lose an eyeball !",You're such a wimp! You're afraid of an eyelash curler.,0.75,"Yeah, that does n't happen.","{'Bleu_1': 9.999999999e-17, 'Bleu_2': 1.0540925532781945e-16, 'Bleu_3': 1.1157215833452827e-16, 'Bleu_4': 1.186840521809983e-16, 'METEOR': 0.022099447513812154, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.63664556, 'EmbeddingAverageCosineSimilarity': 0.814902, 'EmbeddingAverageCosineSimilairty': 0.814902, 'VectorExtremaCosineSimilarity': 0.312028, 'GreedyMatchingScore': 0.651829}"
31,retrieval,,"good afternoon ! did you call for a plumber ? <eot> yes , yes i did . please come in ! i'm so glad you came ! this old house is falling apart ! come on into the bathroom . see , here , there's water leaking everywhere ! <eot> i see . let me have a look . it seems that your toilet is clogged , and that's why it won't flush . let me just get my plunger . no , that's not working either . i suspect that there's some sort of foreign object in the pipes that's causing a blockage . that's what's making your toilet overflow . <eot> oh , that must be because of my four-year-old daughter . she is always flushing things down the toilet . you know how kids are . <eot> yeah , i have a little one myself . anyway , these water pipes are really rusty , so they also should be changed . thatcould be causing water to not drain completely , that might lead to more problems in the future . i would also suggest fixing this faucet that isn't shutting off properly . i could have it all finished by today if it's urgent .","If that's the case, then i will fix the faucet.",0.666666667,That would be wonderful!,"{'Bleu_1': 9.999999999e-17, 'Bleu_2': 1.0540925532781945e-16, 'Bleu_3': 1.1157215833452827e-16, 'Bleu_4': 1.186840521809983e-16, 'METEOR': 0.037037037037037035, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.55461085, 'EmbeddingAverageCosineSimilarity': 0.828733, 'EmbeddingAverageCosineSimilairty': 0.828733, 'VectorExtremaCosineSimilarity': 0.431965, 'GreedyMatchingScore': 0.649578}"
32,retrieval,,i have to get to chicago by tomorrow and you're telling me that there are no flights ?,"No, all flights are direct.",0.666666667,"I'm very sorry , sir . I could put you on a waiting list , but you would be wise to check out other means of travel .","{'Bleu_1': 4.474154369443463e-18, 'Bleu_2': 5.002256655826588e-18, 'Bleu_3': 5.714311158466395e-18, 'Bleu_4': 6.7590499670896616e-18, 'METEOR': 0.03005316800527612, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.7199741, 'EmbeddingAverageCosineSimilarity': 0.834845, 'EmbeddingAverageCosineSimilairty': 0.834845, 'VectorExtremaCosineSimilarity': 0.359512, 'GreedyMatchingScore': 0.664811}"
33,retrieval,,is there anything worth watching on another channel ? <eot> i think there's a western on . <eot> do you mind if we watch it . i'd really like to see it .,Do you want to watch it?,0.875,"Okay, let's watch it.","{'Bleu_1': 0.16666666663888907, 'Bleu_2': 5.773502690837786e-09, 'Bleu_3': 2.0274006647743935e-11, 'Bleu_4': 1.2909944484291948e-12, 'METEOR': 0.146975280622254, 'ROUGE_L': 0.2074829931972789, 'CIDEr': 0.0, 'SkipThoughtCS': 0.6618872, 'EmbeddingAverageCosineSimilarity': 0.890571, 'EmbeddingAverageCosineSimilairty': 0.890571, 'VectorExtremaCosineSimilarity': 0.702953, 'GreedyMatchingScore': 0.747308}"
34,retrieval,,"i will ! i'll feed it , bathe it and walk it every day ! we can get a labrador or a german shepard ! <eot> what if we want to take a vacation ? who will we leave it with ? plus , our apartment is too small for that breed of dog . <eot> ok . how about we get a cat or a ferret ? <eot> we're planning on having children soon , i don't think those animals are a good idea with a baby in the house . <eot> fine ! let's get a bird then ! we can keep it in its cage and teach it to talk ! a parrot would be awesome !",Then i guess you get to have a pet. Do you know what you want?,0.5,I can give you a couple of extra soaps.,"{'Bleu_1': 0.19999999998666673, 'Bleu_2': 3.7796447298312975e-09, 'Bleu_3': 1.0319362512278992e-11, 'Bleu_4': 5.501034141770605e-13, 'METEOR': 0.1255656915754947, 'ROUGE_L': 0.26180257510729615, 'CIDEr': 0.0, 'SkipThoughtCS': 0.6304201, 'EmbeddingAverageCosineSimilarity': 0.92374, 'EmbeddingAverageCosineSimilairty': 0.92374, 'VectorExtremaCosineSimilarity': 0.545861, 'GreedyMatchingScore': 0.76207}"
35,retrieval,,"no , no . i've got plenty left . <eot> now i'm confused again ! what is the problem ? <eot> what am i going to do about souvenirs ? <eot> oh , i get it ! you want souvenirs ! <eot> yes , i've got enough soap for my use , but no extra soap for souvenirs .","Okay, i got it. You're collecting souvenirs!",0.75,Thank you so much,"{'Bleu_1': 1.428571428367347e-16, 'Bleu_2': 1.5430334993821163e-16, 'Bleu_3': 1.6823908654542381e-16, 'Bleu_4': 1.857505799560655e-16, 'METEOR': 0.038461538461538464, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.18439147, 'EmbeddingAverageCosineSimilarity': 0.887952, 'EmbeddingAverageCosineSimilairty': 0.887952, 'VectorExtremaCosineSimilarity': 0.594836, 'GreedyMatchingScore': 0.672783}"
36,retrieval,,"morning , peter . nice suit ! a new one ? <eot> oh , yes . my wife bought it for me yesterday . hmm , you look nice in that yellow dress . yellow suits you really well .",Thank you. I just got this outfit the other day.,1,You always say that.,"{'Bleu_1': 9.999999999e-17, 'Bleu_2': 1.0540925532781945e-16, 'Bleu_3': 1.1157215833452827e-16, 'Bleu_4': 1.186840521809983e-16, 'METEOR': 0.03603603603603603, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.64760596, 'EmbeddingAverageCosineSimilarity': 0.914164, 'EmbeddingAverageCosineSimilairty': 0.914164, 'VectorExtremaCosineSimilarity': 0.658842, 'GreedyMatchingScore': 0.762877}"
37,retrieval,,"what do you mean ? if he was a good programmer , he should have been raking it in . <eot> the boss wanted to pay bob with stock options . but bob didn't want to play that game again . <eot> again ? <eot> at his last start-up , bob worked for stock and no salary . they folded and he made zip . <eot> ouch .",He must be regretting about having done the business.,0.625,Now he only works freelance . Hundred bucks an hour .,"{'Bleu_1': 0.1111111110864199, 'Bleu_2': 3.726779961645599e-09, 'Bleu_3': 1.2565790682502379e-11, 'Bleu_4': 7.583235671536399e-13, 'METEOR': 0.034188034188034185, 'ROUGE_L': 0.1111111111111111, 'CIDEr': 0.0, 'SkipThoughtCS': 0.6396959, 'EmbeddingAverageCosineSimilarity': 0.828656, 'EmbeddingAverageCosineSimilairty': 0.828656, 'VectorExtremaCosineSimilarity': 0.321238, 'GreedyMatchingScore': 0.600976}"
